country_code,country_name,period,unemployment
CZ,Czech Republic,2000-03,11.2
CZ,Czech Republic,2000-04,11.0
CZ,Czech Republic,2000-05,10.8
CZ,Czech Republic,2000-06,10.5
CZ,Czech Republic,2000-07,10.6
CZ,Czech Republic,2000-08,10.3
CZ,Czech Republic,2000-09,9.9
CZ,Czech Republic,2000-10,10.3
CZ,Czech Republic,2000-11,10.4
CZ,Czech Republic,2000-12,9.9
CZ,Czech Republic,2001-01,10.0
CZ,Czech Republic,2001-02,10.3
CZ,Czech Republic,2001-03,10.0
CZ,Czech Republic,2001-04,9.9
CZ,Czech Republic,2001-05,9.8
CZ,Czech Republic,2001-06,9.8
CZ,Czech Republic,2001-07,10.0
CZ,Czech Republic,2001-08,9.7
CZ,Czech Republic,2001-09,10.0
CZ,Czech Republic,2001-10,9.4
CZ,Czech Republic,2001-11,9.6
CZ,Czech Republic,2001-12,9.9
CZ,Czech Republic,2002-01,8.9
CZ,Czech Republic,2002-02,9.4
CZ,Czech Republic,2002-03,9.2
CZ,Czech Republic,2002-04,8.3
CZ,Czech Republic,2002-05,9.1
CZ,Czech Republic,2002-06,9.1
CZ,Czech Republic,2002-07,8.6
CZ,Czech Republic,2002-08,9.3
CZ,Czech Republic,2002-09,8.9
CZ,Czech Republic,2002-10,8.7
CZ,Czech Republic,2002-11,9.6
CZ,Czech Republic,2002-12,9.4
CZ,Czech Republic,2003-01,9.3
CZ,Czech Republic,2003-02,9.4
CZ,Czech Republic,2003-03,9.7
CZ,Czech Republic,2003-04,9.5
CZ,Czech Republic,2003-05,10.1
CZ,Czech Republic,2003-06,9.9
CZ,Czech Republic,2003-07,9.8
CZ,Czech Republic,2003-08,10.1
CZ,Czech Republic,2003-09,10.2
CZ,Czech Republic,2003-10,9.9
CZ,Czech Republic,2003-11,10.2
CZ,Czech Republic,2003-12,10.4
CZ,Czech Republic,2004-01,10.0
CZ,Czech Republic,2004-02,10.4
CZ,Czech Republic,2004-03,10.3
CZ,Czech Republic,2004-04,9.9
CZ,Czech Republic,2004-05,10.0
CZ,Czech Republic,2004-06,9.9
CZ,Czech Republic,2004-07,9.6
CZ,Czech Republic,2004-08,9.6
CZ,Czech Republic,2004-09,9.9
CZ,Czech Republic,2004-10,10.3
CZ,Czech Republic,2004-11,9.9
CZ,Czech Republic,2004-12,9.4
CZ,Czech Republic,2005-01,9.7
CZ,Czech Republic,2005-02,9.8
CZ,Czech Republic,2005-03,9.1
CZ,Czech Republic,2005-04,9.9
CZ,Czech Republic,2005-05,10.1
CZ,Czech Republic,2005-06,9.8
CZ,Czech Republic,2005-07,9.7
CZ,Czech Republic,2005-08,9.7
CZ,Czech Republic,2005-09,9.7
CZ,Czech Republic,2005-10,10.3
CZ,Czech Republic,2005-11,9.6
CZ,Czech Republic,2005-12,10.1
CZ,Czech Republic,2006-01,10.0
CZ,Czech Republic,2006-02,8.9
CZ,Czech Republic,2006-03,9.8
CZ,Czech Republic,2006-04,9.3
CZ,Czech Republic,2006-05,8.5
CZ,Czech Republic,2006-06,9.2
CZ,Czech Republic,2006-07,9.0
CZ,Czech Republic,2006-08,8.2
CZ,Czech Republic,2006-09,8.7
CZ,Czech Republic,2006-10,8.2
CZ,Czech Republic,2006-11,8.1
CZ,Czech Republic,2006-12,8.1
CZ,Czech Republic,2007-01,7.9
CZ,Czech Republic,2007-02,7.5
CZ,Czech Republic,2007-03,7.2
CZ,Czech Republic,2007-04,6.9
CZ,Czech Republic,2007-05,6.6
CZ,Czech Republic,2007-06,6.7
CZ,Czech Republic,2007-07,6.3
CZ,Czech Republic,2007-08,6.2
CZ,Czech Republic,2007-09,6.5
CZ,Czech Republic,2007-10,6.4
CZ,Czech Republic,2007-11,6.2
CZ,Czech Republic,2007-12,6.4
CZ,Czech Republic,2008-01,6.1
CZ,Czech Republic,2008-02,5.9
CZ,Czech Republic,2008-03,5.7
CZ,Czech Republic,2008-04,5.2
CZ,Czech Republic,2008-05,5.1
CZ,Czech Republic,2008-06,6.0
CZ,Czech Republic,2008-07,5.3
CZ,Czech Republic,2008-08,5.3
CZ,Czech Republic,2008-09,5.8
CZ,Czech Republic,2008-10,5.2
CZ,Czech Republic,2008-11,5.5
CZ,Czech Republic,2008-12,6.4
CZ,Czech Republic,2009-01,6.2
CZ,Czech Republic,2009-02,6.9
CZ,Czech Republic,2009-03,7.0
CZ,Czech Republic,2009-04,7.5
CZ,Czech Republic,2009-05,7.8
CZ,Czech Republic,2009-06,7.5
CZ,Czech Republic,2009-07,8.2
CZ,Czech Republic,2009-08,8.6
CZ,Czech Republic,2009-09,8.4
CZ,Czech Republic,2009-10,8.5
CZ,Czech Republic,2009-11,8.3
CZ,Czech Republic,2009-12,8.0
CZ,Czech Republic,2010-01,8.8
CZ,Czech Republic,2010-02,8.9
CZ,Czech Republic,2010-03,8.5
CZ,Czech Republic,2010-04,8.5
CZ,Czech Republic,2010-05,8.6
CZ,Czech Republic,2010-06,8.4
CZ,Czech Republic,2010-07,8.7
CZ,Czech Republic,2010-08,8.3
CZ,Czech Republic,2010-09,8.2
CZ,Czech Republic,2010-10,8.6
CZ,Czech Republic,2010-11,8.1
CZ,Czech Republic,2010-12,8.0
CZ,Czech Republic,2011-01,8.3
CZ,Czech Republic,2011-02,8.2
CZ,Czech Republic,2011-03,7.9
CZ,Czech Republic,2011-04,8.2
CZ,Czech Republic,2011-05,8.0
CZ,Czech Republic,2011-06,8.0
CZ,Czech Republic,2011-07,7.8
CZ,Czech Republic,2011-08,7.5
CZ,Czech Republic,2011-09,7.9
CZ,Czech Republic,2011-10,7.5
CZ,Czech Republic,2011-11,7.7
CZ,Czech Republic,2011-12,7.7
CZ,Czech Republic,2012-01,7.5
CZ,Czech Republic,2012-02,8.4
CZ,Czech Republic,2012-03,8.1
CZ,Czech Republic,2012-04,8.1
CZ,Czech Republic,2012-05,8.1
CZ,Czech Republic,2012-06,8.0
CZ,Czech Republic,2012-07,8.2
CZ,Czech Republic,2012-08,8.7
CZ,Czech Republic,2012-09,8.0
CZ,Czech Republic,2012-10,8.3
CZ,Czech Republic,2012-11,9.1
CZ,Czech Republic,2012-12,8.3
CZ,Czech Republic,2013-01,7.8
CZ,Czech Republic,2013-02,8.9
CZ,Czech Republic,2013-03,8.6
CZ,Czech Republic,2013-04,7.8
CZ,Czech Republic,2013-05,8.7
CZ,Czech Republic,2013-06,8.2
CZ,Czech Republic,2013-07,7.6
CZ,Czech Republic,2013-08,8.8
CZ,Czech Republic,2013-09,8.5
CZ,Czech Republic,2013-10,7.8
CZ,Czech Republic,2013-11,8.5
CZ,Czech Republic,2013-12,8.1
CZ,Czech Republic,2014-01,7.9
CZ,Czech Republic,2014-02,7.8
CZ,Czech Republic,2014-03,8.1
CZ,Czech Republic,2014-04,7.5
CZ,Czech Republic,2014-05,7.6
CZ,Czech Republic,2014-06,7.4
CZ,Czech Republic,2014-07,7.0
CZ,Czech Republic,2014-08,7.8
CZ,Czech Republic,2014-09,6.9
CZ,Czech Republic,2014-10,6.6
CZ,Czech Republic,2014-11,7.4
CZ,Czech Republic,2014-12,6.8
CZ,Czech Republic,2015-01,6.7
CZ,Czech Republic,2015-02,7.0
CZ,Czech Republic,2015-03,6.8
CZ,Czech Republic,2015-04,6.3
CZ,Czech Republic,2015-05,5.9
CZ,Czech Republic,2015-06,6.1
CZ,Czech Republic,2015-07,6.0
CZ,Czech Republic,2015-08,5.7
CZ,Czech Republic,2015-09,5.9
CZ,Czech Republic,2015-10,5.5
CZ,Czech Republic,2015-11,5.6
CZ,Czech Republic,2015-12,5.7
CZ,Czech Republic,2016-01,5.1
CZ,Czech Republic,2016-02,5.1
CZ,Czech Republic,2016-03,4.7
CZ,Czech Republic,2016-04,4.5
CZ,Czech Republic,2016-05,4.6
CZ,Czech Republic,2016-06,5.0
CZ,Czech Republic,2016-07,5.0
CZ,Czech Republic,2016-08,4.3
CZ,Czech Republic,2016-09,5.0
CZ,Czech Republic,2016-10,4.4
CZ,Czech Republic,2016-11,4.2
CZ,Czech Republic,2016-12,4.3
CZ,Czech Republic,2017-01,4.2
CZ,Czech Republic,2017-02,4.0
CZ,Czech Republic,2017-03,4.3
CZ,Czech Republic,2017-04,4.3
CZ,Czech Republic,2017-05,3.6
CZ,Czech Republic,2017-06,3.5
CZ,Czech Republic,2017-07,3.5
CZ,Czech Republic,2017-08,3.2
CZ,Czech Republic,2017-09,3.4
CZ,Czech Republic,2017-10,3.2
CZ,Czech Republic,2017-11,2.9
CZ,Czech Republic,2017-12,2.9
CZ,Czech Republic,2018-01,3.4
CZ,Czech Republic,2018-02,2.7
CZ,Czech Republic,2018-03,2.7
CZ,Czech Republic,2018-04,3.0
CZ,Czech Republic,2018-05,2.7
CZ,Czech Republic,2018-06,2.8
CZ,Czech Republic,2018-07,2.7
CZ,Czech Republic,2018-08,3.1
CZ,Czech Republic,2018-09,2.7
CZ,Czech Republic,2018-10,2.7
CZ,Czech Republic,2018-11,2.5
CZ,Czech Republic,2018-12,2.8
CZ,Czech Republic,2019-01,2.5
CZ,Czech Republic,2019-02,1.8
CZ,Czech Republic,2019-03,2.3
CZ,Czech Republic,2019-04,2.5
CZ,Czech Republic,2019-05,2.5
CZ,Czech Republic,2019-06,2.3
CZ,Czech Republic,2019-07,2.5
CZ,Czech Republic,2019-08,2.6
CZ,Czech Republic,2019-09,2.4
CZ,Czech Republic,2019-10,2.6
CZ,Czech Republic,2019-11,2.3
CZ,Czech Republic,2019-12,2.3
CZ,Czech Republic,2020-01,2.1
CZ,Czech Republic,2020-02,1.9
CZ,Czech Republic,2020-03,2.0
CZ,Czech Republic,2020-04,2.5
CZ,Czech Republic,2020-05,2.9
CZ,Czech Republic,2020-06,2.8
CZ,Czech Republic,2020-07,3.7
CZ,Czech Republic,2020-08,2.9
CZ,Czech Republic,2020-09,3.3
CZ,Czech Republic,2020-10,4.1
CZ,Czech Republic,2020-11,3.7
CZ,Czech Republic,2020-12,3.6
CZ,Czech Republic,2021-01,4.2
CZ,Czech Republic,2021-02,4.1
CZ,Czech Republic,2021-03,3.9
CZ,Czech Republic,2021-04,4.1
CZ,Czech Republic,2021-05,3.9
CZ,Czech Republic,2021-06,3.4
CZ,Czech Republic,2021-07,3.1
CZ,Czech Republic,2021-08,3.4
CZ,Czech Republic,2021-09,3.1
CZ,Czech Republic,2021-10,2.9
CZ,Czech Republic,2021-11,2.6
CZ,Czech Republic,2021-12,2.5
CZ,Czech Republic,2022-01,2.9
CZ,Czech Republic,2022-02,3.2
CZ,Czech Republic,2022-03,2.7
CZ,Czech Republic,2022-04,3.1
CZ,Czech Republic,2022-05,3.2
CZ,Czech Republic,2022-06,3.1
CZ,Czech Republic,2022-07,3.0
CZ,Czech Republic,2022-08,3.0
CZ,Czech Republic,2022-09,2.6
CZ,Czech Republic,2022-10,2.6
CZ,Czech Republic,2022-11,3.2
CZ,Czech Republic,2022-12,2.5
CZ,Czech Republic,2023-01,3.0
CZ,Czech Republic,2023-02,2.9
CZ,Czech Republic,2023-03,2.9
CZ,Czech Republic,2023-04,3.4
CZ,Czech Republic,2023-05,3.0
CZ,Czech Republic,2023-06,3.0
CZ,Czech Republic,2023-07,3.5
CZ,Czech Republic,2023-08,3.0
CZ,Czech Republic,2023-09,3.1
CZ,Czech Republic,2023-10,3.6
CZ,Czech Republic,2023-11,3.0
CZ,Czech Republic,2023-12,3.2
CZ,Czech Republic,2024-01,3.6
CZ,Czech Republic,2024-02,3.1
CZ,Czech Republic,2024-03,3.6
CZ,Czech Republic,2024-04,3.3
CZ,Czech Republic,2024-05,3.0
CZ,Czech Republic,2024-06,3.1
CZ,Czech Republic,2024-07,3.1
CZ,Czech Republic,2024-08,3.3
CZ,Czech Republic,2024-09,3.3
CZ,Czech Republic,2024-10,2.9
CZ,Czech Republic,2024-11,3.7
CZ,Czech Republic,2024-12,3.2
CZ,Czech Republic,2025-01,2.7
CZ,Czech Republic,2025-02,3.4
CZ,Czech Republic,2025-03,3.1
CZ,Czech Republic,2025-04,3.1
CZ,Czech Republic,2025-05,3.3
CZ,Czech Republic,2025-06,3.2
CZ,Czech Republic,2025-07,3.2
CZ,Czech Republic,2025-08,3.6
CZ,Czech Republic,2025-09,3.4
CZ,Czech Republic,2025-10,3.5
CZ,Czech Republic,2025-11,3.5
CZ,Czech Republic,2025-12,3.7
CZ,Czech Republic,2026-01,3.8
CZ,Czech Republic,2026-02,3.5
CZ,Czech Republic,2026-03,3.8
CZ,Czech Republic,1993-01,3.7
CZ,Czech Republic,1993-02,3.7
CZ,Czech Republic,1993-03,3.4
CZ,Czech Republic,1993-04,3.4
CZ,Czech Republic,1993-05,3.7
CZ,Czech Republic,1993-06,3.2
CZ,Czech Republic,1993-07,3.5
CZ,Czech Republic,1993-08,3.5
CZ,Czech Republic,1993-09,3.0
CZ,Czech Republic,1993-10,3.5
CZ,Czech Republic,1993-11,3.1
CZ,Czech Republic,1993-12,3.3
CZ,Czech Republic,1994-01,3.2
CZ,Czech Republic,1994-02,3.2
CZ,Czech Republic,1994-03,3.4
CZ,Czech Republic,1994-04,3.8
CZ,Czech Republic,1994-05,3.3
CZ,Czech Republic,1994-06,3.6
CZ,Czech Republic,1994-07,3.6
CZ,Czech Republic,1994-08,3.6
CZ,Czech Republic,1994-09,4.1
CZ,Czech Republic,1994-10,3.8
CZ,Czech Republic,1994-11,3.5
CZ,Czech Republic,1994-12,3.9
CZ,Czech Republic,1995-01,3.5
CZ,Czech Republic,1995-02,3.5
CZ,Czech Republic,1995-03,3.8
CZ,Czech Republic,1995-04,3.5
CZ,Czech Republic,1995-05,3.3
CZ,Czech Republic,1995-06,3.7
CZ,Czech Republic,1995-07,3.4
CZ,Czech Republic,1995-08,3.3
CZ,Czech Republic,1995-09,3.3
CZ,Czech Republic,1995-10,3.2
CZ,Czech Republic,1995-11,3.3
CZ,Czech Republic,1995-12,3.0
CZ,Czech Republic,1996-01,3.0
CZ,Czech Republic,1996-02,3.0
CZ,Czech Republic,1996-03,3.1
CZ,Czech Republic,1996-04,3.0
CZ,Czech Republic,1996-05,3.5
CZ,Czech Republic,1996-06,3.5
CZ,Czech Republic,1996-07,3.2
CZ,Czech Republic,1996-08,3.5
CZ,Czech Republic,1996-09,3.5
CZ,Czech Republic,1996-10,3.0
CZ,Czech Republic,1996-11,3.5
CZ,Czech Republic,1996-12,3.7
CZ,Czech Republic,1997-01,3.6
CZ,Czech Republic,1997-02,3.4
CZ,Czech Republic,1997-03,3.4
CZ,Czech Republic,1997-04,3.7
CZ,Czech Republic,1997-05,3.7
CZ,Czech Republic,1997-06,3.9
CZ,Czech Republic,1997-07,4.0
CZ,Czech Republic,1997-08,3.9
CZ,Czech Republic,1997-09,4.0
CZ,Czech Republic,1997-10,4.1
CZ,Czech Republic,1997-11,4.2
CZ,Czech Republic,1997-12,4.5
CZ,Czech Republic,1998-01,4.5
CZ,Czech Republic,1998-02,4.5
CZ,Czech Republic,1998-03,4.7
CZ,Czech Republic,1998-04,4.6
CZ,Czech Republic,1998-05,4.4
CZ,Czech Republic,1998-06,4.9
CZ,Czech Republic,1998-07,5.1
CZ,Czech Republic,1998-08,5.0
CZ,Czech Republic,1998-09,5.3
CZ,Czech Republic,1998-10,5.7
CZ,Czech Republic,1998-11,5.8
CZ,Czech Republic,1998-12,5.7
CZ,Czech Republic,1999-01,6.7
CZ,Czech Republic,1999-02,6.6
CZ,Czech Republic,1999-03,7.1
CZ,Czech Republic,1999-04,7.4
CZ,Czech Republic,1999-05,7.3
CZ,Czech Republic,1999-06,7.1
CZ,Czech Republic,1999-07,7.2
CZ,Czech Republic,1999-08,7.2
CZ,Czech Republic,1999-09,7.6
CZ,Czech Republic,1999-10,8.1
CZ,Czech Republic,1999-11,7.5
CZ,Czech Republic,1999-12,7.7
CZ,Czech Republic,2000-01,8.0
CZ,Czech Republic,2000-02,7.8
CZ,Czech Republic,2000-03,7.8
CZ,Czech Republic,2000-04,7.6
CZ,Czech Republic,2000-05,7.4
CZ,Czech Republic,2000-06,7.1
CZ,Czech Republic,2000-07,7.2
CZ,Czech Republic,2000-08,7.1
CZ,Czech Republic,2000-09,7.1
CZ,Czech Republic,2000-10,6.9
CZ,Czech Republic,2000-11,7.1
CZ,Czech Republic,2000-12,6.8
CZ,Czech Republic,2001-01,7.0
CZ,Czech Republic,2001-02,6.7
CZ,Czech Republic,2001-03,6.5
CZ,Czech Republic,2001-04,7.0
CZ,Czech Republic,2001-05,6.7
CZ,Czech Republic,2001-06,6.6
CZ,Czech Republic,2001-07,6.6
CZ,Czech Republic,2001-08,7.3
CZ,Czech Republic,2001-09,6.7
CZ,Czech Republic,2001-10,6.4
CZ,Czech Republic,2001-11,6.8
CZ,Czech Republic,2001-12,6.6
CZ,Czech Republic,2002-01,6.1
CZ,Czech Republic,2002-02,6.1
CZ,Czech Republic,2002-03,6.1
CZ,Czech Republic,2002-04,5.8
CZ,Czech Republic,2002-05,6.0
CZ,Czech Republic,2002-06,5.9
CZ,Czech Republic,2002-07,5.6
CZ,Czech Republic,2002-08,5.9
CZ,Czech Republic,2002-09,6.0
CZ,Czech Republic,2002-10,5.7
CZ,Czech Republic,2002-11,5.9
CZ,Czech Republic,2002-12,5.9
CZ,Czech Republic,2003-01,5.4
CZ,Czech Republic,2003-02,5.7
CZ,Czech Republic,2003-03,6.0
CZ,Czech Republic,2003-04,5.9
CZ,Czech Republic,2003-05,6.0
CZ,Czech Republic,2003-06,5.9
CZ,Czech Republic,2003-07,6.5
CZ,Czech Republic,2003-08,6.1
CZ,Czech Republic,2003-09,6.2
CZ,Czech Republic,2003-10,6.7
CZ,Czech Republic,2003-11,6.5
CZ,Czech Republic,2003-12,6.4
CZ,Czech Republic,2004-01,7.2
CZ,Czech Republic,2004-02,7.5
CZ,Czech Republic,2004-03,6.4
CZ,Czech Republic,2004-04,7.1
CZ,Czech Republic,2004-05,7.8
CZ,Czech Republic,2004-06,6.7
CZ,Czech Republic,2004-07,6.8
CZ,Czech Republic,2004-08,7.4
CZ,Czech Republic,2004-09,6.8
CZ,Czech Republic,2004-10,7.2
CZ,Czech Republic,2004-11,7.2
CZ,Czech Republic,2004-12,6.4
CZ,Czech Republic,2005-01,7.1
CZ,Czech Republic,2005-02,7.1
CZ,Czech Republic,2005-03,6.8
CZ,Czech Republic,2005-04,6.5
CZ,Czech Republic,2005-05,6.4
CZ,Czech Republic,2005-06,6.3
CZ,Czech Republic,2005-07,6.2
CZ,Czech Republic,2005-08,6.3
CZ,Czech Republic,2005-09,6.3
CZ,Czech Republic,2005-10,6.1
CZ,Czech Republic,2005-11,6.4
CZ,Czech Republic,2005-12,6.1
CZ,Czech Republic,2006-01,6.3
CZ,Czech Republic,2006-02,6.0
CZ,Czech Republic,2006-03,6.5
CZ,Czech Republic,2006-04,5.6
CZ,Czech Republic,2006-05,5.7
CZ,Czech Republic,2006-06,6.2
CZ,Czech Republic,2006-07,5.4
CZ,Czech Republic,2006-08,5.7
CZ,Czech Republic,2006-09,6.1
CZ,Czech Republic,2006-10,5.4
CZ,Czech Republic,2006-11,5.4
CZ,Czech Republic,2006-12,5.5
CZ,Czech Republic,2007-01,4.6
CZ,Czech Republic,2007-02,4.4
CZ,Czech Republic,2007-03,4.6
CZ,Czech Republic,2007-04,4.5
CZ,Czech Republic,2007-05,4.5
CZ,Czech Republic,2007-06,4.3
CZ,Czech Republic,2007-07,4.4
CZ,Czech Republic,2007-08,4.0
CZ,Czech Republic,2007-09,4.0
CZ,Czech Republic,2007-10,4.1
CZ,Czech Republic,2007-11,3.7
CZ,Czech Republic,2007-12,3.6
CZ,Czech Republic,2008-01,3.7
CZ,Czech Republic,2008-02,3.6
CZ,Czech Republic,2008-03,3.2
CZ,Czech Republic,2008-04,3.7
CZ,Czech Republic,2008-05,3.5
CZ,Czech Republic,2008-06,3.4
CZ,Czech Republic,2008-07,3.4
CZ,Czech Republic,2008-08,3.3
CZ,Czech Republic,2008-09,3.3
CZ,Czech Republic,2008-10,3.3
CZ,Czech Republic,2008-11,3.6
CZ,Czech Republic,2008-12,3.6
CZ,Czech Republic,2009-01,4.5
CZ,Czech Republic,2009-02,4.7
CZ,Czech Republic,2009-03,4.9
CZ,Czech Republic,2009-04,5.4
CZ,Czech Republic,2009-05,5.8
CZ,Czech Republic,2009-06,5.7
CZ,Czech Republic,2009-07,6.1
CZ,Czech Republic,2009-08,6.7
CZ,Czech Republic,2009-09,6.6
CZ,Czech Republic,2009-10,6.2
CZ,Czech Republic,2009-11,6.9
CZ,Czech Republic,2009-12,6.9
CZ,Czech Republic,2010-01,6.8
CZ,Czech Republic,2010-02,7.2
CZ,Czech Republic,2010-03,7.1
CZ,Czech Republic,2010-04,6.3
CZ,Czech Republic,2010-05,6.5
CZ,Czech Republic,2010-06,6.3
CZ,Czech Republic,2010-07,6.2
CZ,Czech Republic,2010-08,6.2
CZ,Czech Republic,2010-09,5.9
CZ,Czech Republic,2010-10,6.0
CZ,Czech Republic,2010-11,6.1
CZ,Czech Republic,2010-12,6.1
CZ,Czech Republic,2011-01,6.0
CZ,Czech Republic,2011-02,6.1
CZ,Czech Republic,2011-03,5.9
CZ,Czech Republic,2011-04,5.9
CZ,Czech Republic,2011-05,5.9
CZ,Czech Republic,2011-06,5.9
CZ,Czech Republic,2011-07,5.7
CZ,Czech Republic,2011-08,5.6
CZ,Czech Republic,2011-09,5.7
CZ,Czech Republic,2011-10,5.8
CZ,Czech Republic,2011-11,5.6
CZ,Czech Republic,2011-12,5.5
CZ,Czech Republic,2012-01,6.0
CZ,Czech Republic,2012-02,6.0
CZ,Czech Republic,2012-03,5.9
CZ,Czech Republic,2012-04,6.1
CZ,Czech Republic,2012-05,5.9
CZ,Czech Republic,2012-06,5.7
CZ,Czech Republic,2012-07,6.1
CZ,Czech Republic,2012-08,6.0
CZ,Czech Republic,2012-09,5.8
CZ,Czech Republic,2012-10,6.3
CZ,Czech Republic,2012-11,6.6
CZ,Czech Republic,2012-12,6.0
CZ,Czech Republic,2013-01,6.0
CZ,Czech Republic,2013-02,6.4
CZ,Czech Republic,2013-03,6.3
CZ,Czech Republic,2013-04,6.1
CZ,Czech Republic,2013-05,6.2
CZ,Czech Republic,2013-06,5.3
CZ,Czech Republic,2013-07,5.9
CZ,Czech Republic,2013-08,5.9
CZ,Czech Republic,2013-09,5.9
CZ,Czech Republic,2013-10,5.4
CZ,Czech Republic,2013-11,6.1
CZ,Czech Republic,2013-12,5.8
CZ,Czech Republic,2014-01,5.1
CZ,Czech Republic,2014-02,5.6
CZ,Czech Republic,2014-03,5.7
CZ,Czech Republic,2014-04,5.1
CZ,Czech Republic,2014-05,5.0
CZ,Czech Republic,2014-06,5.1
CZ,Czech Republic,2014-07,4.6
CZ,Czech Republic,2014-08,5.1
CZ,Czech Republic,2014-09,4.8
CZ,Czech Republic,2014-10,4.6
CZ,Czech Republic,2014-11,5.4
CZ,Czech Republic,2014-12,5.0
CZ,Czech Republic,2015-01,5.0
CZ,Czech Republic,2015-02,5.0
CZ,Czech Republic,2015-03,4.9
CZ,Czech Republic,2015-04,4.4
CZ,Czech Republic,2015-05,4.2
CZ,Czech Republic,2015-06,4.0
CZ,Czech Republic,2015-07,4.2
CZ,Czech Republic,2015-08,4.1
CZ,Czech Republic,2015-09,3.7
CZ,Czech Republic,2015-10,4.0
CZ,Czech Republic,2015-11,3.8
CZ,Czech Republic,2015-12,3.5
CZ,Czech Republic,2016-01,3.8
CZ,Czech Republic,2016-02,3.5
CZ,Czech Republic,2016-03,3.4
CZ,Czech Republic,2016-04,3.7
CZ,Czech Republic,2016-05,3.3
CZ,Czech Republic,2016-06,3.5
CZ,Czech Republic,2016-07,3.6
CZ,Czech Republic,2016-08,3.1
CZ,Czech Republic,2016-09,3.2
CZ,Czech Republic,2016-10,3.3
CZ,Czech Republic,2016-11,3.2
CZ,Czech Republic,2016-12,3.0
CZ,Czech Republic,2017-01,2.8
CZ,Czech Republic,2017-02,2.7
CZ,Czech Republic,2017-03,2.3
CZ,Czech Republic,2017-04,2.6
CZ,Czech Republic,2017-05,2.4
CZ,Czech Republic,2017-06,2.3
CZ,Czech Republic,2017-07,2.3
CZ,Czech Republic,2017-08,2.3
CZ,Czech Republic,2017-09,2.1
CZ,Czech Republic,2017-10,2.1
CZ,Czech Republic,2017-11,2.2
